"2023-09-11 14:13:27 [thread] INFO  com.sms.management.SmsApplication - Starting SmsApplication using Java 20.0.2 with PID 4364 (C:\Users\onsal\OneDrive\Masaüstü\ideaProjects\demo3\target\classes started by onsal in C:\Users\onsal\OneDrive\Masaüstü\ideaProjects\demo3)
""2023-09-11 14:13:27 [thread] INFO  com.sms.management.SmsApplication - No active profile set, falling back to 1 default profile: "default"
""2023-09-11 14:13:27 [thread] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2023-09-11 14:13:27 [thread] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 3 JPA repository interfaces.
""2023-09-11 14:13:28 [thread] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2023-09-11 14:13:28 [thread] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
""2023-09-11 14:13:28 [thread] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
""2023-09-11 14:13:28 [thread] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-09-11 14:13:28 [thread] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1017 ms
""2023-09-11 14:13:28 [thread] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2023-09-11 14:13:28 [thread] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
""2023-09-11 14:13:28 [thread] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
""2023-09-11 14:13:28 [thread] INFO  org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
""2023-09-11 14:13:28 [thread] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
""2023-09-11 14:13:28 [thread] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2023-09-11 14:13:29 [thread] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@15f519f7
""2023-09-11 14:13:29 [thread] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2023-09-11 14:13:29 [thread] INFO  org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
""2023-09-11 14:13:29 [thread] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2023-09-11 14:13:29 [thread] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2023-09-11 14:13:30 [thread] INFO  org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
""2023-09-11 14:13:30 [thread] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2023-09-11 14:13:30 [thread] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2023-09-11 14:13:30 [thread] INFO  com.sms.management.SmsApplication - Started SmsApplication in 3.85 seconds (process running for 4.637)
""2023-09-11 14:13:38 [thread] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-09-11 14:13:38 [thread] INFO  com.sms.management.controller.TeacherController - get teachers methodu çalıştı
""2023-09-11 14:14:32 [thread] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2023-09-11 14:14:32 [thread] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2023-09-11 14:14:32 [thread] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
"
